1;Carlsbad Cavern City Air Terminal;{"name": "Carlsbad Cavern City Air Terminal", "airport": "CNM", "country": "США"}
2;Columbus Apt;{"name": "Columbus Apt", "airport": "CSG", "country": "США"}
3;Domine Eduard Osok;{"name": "Domine Eduard Osok", "airport": "SOQ", "country": "Индонезия"}
4;Ecuador_x000D_ Санта-Роза Интернешнл,Санта-Роза;{"name": "Ecuador_x000D_ Санта-Роза Интернешнл", "airport": "ETR", "country": "Эквадор"}
5;Lawson AAF-Ft Benning;{"name": "Lawson AAF-Ft Benning", "airport": "LSF", "country": "США"}
6;Pentecost Island,Сара;{"name": "Pentecost Island", "airport": "SSR", "country": "Вануату"}
7;Shuinan;{"name": "Shuinan", "airport": "TXG", "country": "Тайвань"}
8;Sialkot International;{"name": "Sialkot International", "airport": "SKT", "country": "Пакистан"}
9;Skive Airport,Скиве;{"name": "Skive Airport", "airport": "SQW", "country": "Дания"}
10;Аазиаат,Аазиаата,Аазиаату,Аазиаатом,Аазиаате;{"name": "Аазиаат", "airport": "JEG", "country": "Гренландия"}
11;Аахен,ЖД вокзал Аахена,ЖД-вокзал Аахена,Аахена,Аахену,Аахеном,Аахене;{"name": "Аахен", "airport": "XHJ", "country": "Германия"}
12;Аба Тенна Д Йилма,Абы Тенны Д Йилмы,Абе Тенне Д Йилме,Абу Тенну Д Йилму,Абой Тенной Д Йилмой;{"name": "Аба Тенна Д Йилма", "airport": "DIR", "country": "Эфиопия"}
13;АБАГУР ЛЕС,Абагур-Лесной;{"name": "Абагур-Лесной","statCode": "2028104"}
14;АБАГУРОВСК,Абагуровский;{"name": "Абагуровский","statCode": "2028108"}
15;Абадан,Абадана,Абадану,Абаданом,Абадане;{"name": "Абадан", "airport": "ABD", "statCode": "2900882"}
16;АБАЕВСКИЙ,Абаевский;{"name": "Абаевский","statCode": "2030571","country": "Россия"}
17;АБАЗА,Абаза;{"name": "Абаза","statCode": "2038263","country": "Россия"}
18;АБАЗИНКА,Абазинка;{"name": "Абазинка","statCode": "2064729","country": "Россия"}
19;АБАЗОВКА,Абазовка;{"name": "Абазовка","statCode": "2204575","country": "Украина"}
20;АБАИЛ,Абаил;{"name": "Абаил","statCode": "2700062","country": "Казахстан"}
21;Абакан,Абакана,вабакан,Абакану,Абаканом,Абакане,Вабакан,Вабакана,Вабакану,Вабаканом,Вабакане;{"name": "Абакан", "airport": "ABA", "statCode": "2038230", "country": "Россия"}
22;АБАКЛИЯ,Абаклия;{"name": "Абаклия","statCode": "2300580","country": "Молдова"}
23;АБАКУМОВКА,Абакумовка;{"name": "Абакумовка","statCode": "2038232","country": "Россия"}
24;АБАЛАКОВО,Абалаково;{"name": "Абалаково","statCode": "2038154","country": "Россия"}
25;АБАМЕЛИКОВ,Абамеликово;{"name": "Абамеликово","statCode": "2208439","country": "Украина"}
26;Абботсфорд,Абботсфорда,Абботсфорду,Абботсфордом,Абботсфорде;{"name": "Абботсфорд", "airport": "YXX", "country": "Канада"}
27;АБГАНЕРОВО,Абганерово;{"name": "Абганерово","statCode": "2020843","country": "Россия"}
28;Абдельхафид Буссуф Бу Шекиф,Tiaret;{"name": "Абдельхафид Буссуф Бу Шекиф", "airport": "TID", "country": "Алжир"}
29;АБДИКЕЕВО,Абдикеево;{"name": "Абдикеево","statCode": "2024778","country": "Россия"}
30;АБДУЛИНО,Абдулино;{"name": "Абдулино","statCode": "2024670"}
31;Абердин Америка,Абердин США,Абердин штаты,Абердина Америка,Абердина США,Абердина штаты,Абердине Америка,Абердине США,Абердине штаты,Абердином Америка,Абердином США,Абердином штаты,Абердину Америка,Абердину США,Абердину штаты,ABR;{"name": "Абердин", "airport": "ABR", "country": "США"}
32;Абердин,Дайс,Абердина,Абердину,Абердином,Абердине,Дайса,Дайсу,Дайсом,Дайсе;{"name": "Абердин", "airport": "ABZ", "country": "Великобритания"}
