1;Pentecost Island,Сара;{"name": "Pentecost Island", "airport": "SSR", "country": "Вануату"}
2;Аазиаат,Аазиаата,Аазиаату,Аазиаатом,Аазиаате;{"name": "Аазиаат", "airport": "JEG", "country": "Гренландия"}
3;Аахен,ЖД вокзал Аахена,ЖД-вокзал Аахена,Аахена,Аахену,Аахеном,Аахене;{"name": "Аахен", "airport": "XHJ", "statCode": "8052101", "country": "Германия"}
4;Аба Тенна Д Йилма,Абы Тенны Д Йилмы,Абе Тенне Д Йилме,Абу Тенну Д Йилму,Абой Тенной Д Йилмой;{"name": "Аба Тенна Д Йилма", "airport": "DIR", "country": "Эфиопия"}
5;Абадан,Абадана,Абадану,Абаданом,Абадане;{"name": "Абадан", "airport": "ABD", "statCode": "2900882", "country": "Иран"}
6;Абакан,Абакана,вабакан,Абакану,Абаканом,Абакане,Вабакан,Вабакана,Вабакану,Вабаканом,Вабакане;{"name": "Абакан", "airport": "ABA", "statCode": "2038230", "country": "Россия"}
7;Абботсфорд,Абботсфорда,Абботсфорду,Абботсфордом,Абботсфорде;{"name": "Абботсфорд", "airport": "YXX", "country": "Канада"}
8;Абердин,Дайс,Абердина,Абердину,Абердином,Абердине,Дайса,Дайсу,Дайсом,Дайсе;{"name": "Абердин", "airport": "ABZ", "country": "Великобритания"}
9;Абердин,Абердина,Абердину,Абердином,Абердине;{"name": "Абердин", "airport": "ABR", "country": "США"}
10;Абиджан,Абиджана,Абиджану,Абиджаном,Абиджане;{"name": "Абиджан", "airport": "ABJ", "country": "Кот-д’Ивуар"}
11;Абилин,Абилина,Абилину,Абилиным,Абилине;{"name": "Абилин", "airport": "ABI", "country": "США"}
12;Абишер,Абишера,Абишеру,Абишером,Абишере;{"name": "Абишер", "airport": "AEH", "country": "Чад"}
13;Абу-Даби,Абу Даби,АбуДаби;{"name": "Абу-Даби", "airport": "AUH", "country": "ОАЭ"}
14;Абу-Симбел,Абу Симбел,АбуСимбел,Абу-Симбела,Абу-Симбелу,Абу-Симбелом,Абу-Симбеле;{"name": "Абу-Симбел", "airport": "ABS", "country": "Египет"}
15;Абуджа,Абуджи,Абудже,Абуджу,Абуджой;{"name": "Абуджа", "airport": "ABV", "country": "Нигерия"}
16;Абха,Абхи,Абхе,Абху,Абхой;{"name": "Абха", "airport": "AHB", "country": "Саудовская Аравия"}
17;Аваба,Авабы,Авабе,Авабу,Авабой;{"name": "Аваба", "airport": "AWB", "country": "Папуа - Новая Гвинея"}
18;Авила,ЖД вокзал Авилы,ЖД-вокзал Авилы,Авилы,Авиле,Авилу,Авилой;{"name": "Авила", "airport": "AVS", "country": "Испания"}
19;Авиньон,Авиньона,Авиньону,Авиньоном,Авиньоне;{"name": "Авиньон", "airport": "AVN", "country": "Франция"}
20;Агадир,Альмассира,Агадира,Агадиру,Агадиром,Агадире;{"name": "Агадир", "airport": "AGA", "country": "Марокко"}
21;Агартала,Сингербхил,Агарталы,Агартале,Агарталу,Агарталой;{"name": "Агартала", "airport": "IXA", "country": "Индия"}
22;Агра;{"name": "Агра", "airport": "AGR", "country": "Индия"}
23;Агры,Агр,Аграм,Аграми,Аграх;{"name": "Агры", "airport": "AJI", "country": "Турция"}
24;Агуадилья,Борингуин,Агуадильи,Агуадилье,Агуадилью,Агуадильей;{"name": "Агуадилья", "airport": "BQN", "country": "Пуэрто-Рико"}
25;Агуаскальентес,Агуаскалиентес,Агуаскальентеса,Агуаскальентесу,Агуаскальентесом,Агуаскальентесе;{"name": "Агуаскальентес", "airport": "AGU", "country": "Мексика"}
26;Ада,Ады,Аде,Аду,Адой;{"name": "Ада", "airport": "ADT", "country": "США"}
27;Адана,Аданы,Адане,Адану,Аданой;{"name": "Адана", "airport": "ADA", "country": "Турция"}
28;Аддис-Абеба,Аддис Абеба,АддисАбеба,АддисАбебы,Аддиса-Абебы,Аддису-Абебе,Аддис-Абебу,Аддисом-Абебой,Аддисе-Абебе;{"name": "Аддис-Абеба", "airport": "ADD", "country": "Эфиопия"}
29;Аделаида,Аделаиды,Аделаиде,Аделаиду,Аделаидой;{"name": "Аделаида", "airport": "ADL", "country": "Австралия"}
30;Аден,Адена,Адену,Аденом,Адене;{"name": "Аден", "airport": "ADE", "country": "Йемен"}
31;Адрар,Адрара,Адрару,Адраром,Адраре;{"name": "Адрар", "airport": "AZR", "country": "Алжир"}
32;Адыяман,Адыямана,Адыяману,Адыяманом,Адыямане;{"name": "Адыяман", "airport": "ADF", "country": "Турция"}
33;Ажен,Ла-Гареннэ,Ла Гареннэ,ЛаГареннэ,Ажена,Ажену,Аженом,Ажене;{"name": "Ажен", "airport": "AGF", "country": "Франция"}
34;Аиджал,Аиджала,Аиджалу,Аиджалом,Аиджале;{"name": "Аиджал", "airport": "AJL", "country": "Индия"}
35;Аитутаки,Аитутак,Аитутакам,Аитутаками,Аитутаках;{"name": "Аитутаки", "airport": "AIT", "country": "Острова Кука"}
36;Айгугиг,Айгугига,Айгугигу,Айгугигом,Айгугиге;{"name": "Айгугиг", "airport": "IGG", "country": "США"}
37;Айдахо-Фолс,Айдахо Фолс,АйдахоФолс,Фэннинг-Филд,Фэннинг Филд,ФэннингФилд,Айдахо-Фолса,Айдахо-Фолсу,Айдахо-Фолсом,Айдахо-Фолсе;{"name": "Айдахо-Фолс", "airport": "IDA", "country": "США"}
38;Айленд-Гарден-Хилл,Айленд Гарден Хилл,АйлендГарденХилл,Айленда-Гардена-Хилла,Айленду-Гардену-Хиллу,Айлендом-Гарденом-Хиллом,Айленде-Гардене-Хилле;{"name": "Айленд-Гарден-Хилл", "airport": "YIV", "country": "Канада"}
39;Айрон-Маунтин,Айрон Маунтин,АйронМаунтин,Форд,Айрона-Маунтина,Айрону-Маунтину,Айроном-Маунтиным,Айроне-Маунтине;{"name": "Айрон-Маунтин", "airport": "IMT", "country": "США"}
40;Айронвуд,Годжебик-Каунти,Годжебик Каунти,ГоджебикКаунти,Айронвуда,Айронвуду,Айронвудом,Айронвуде;{"name": "Айронвуд", "airport": "IWD", "country": "США"}
41;Айэрс-Рок,Айэрс Рок,АйэрсРок,Коннелан,Айэрса-Рока,Айэрсу-Року,Айэрсом-Роком,Айэрсе-Роке;{"name": "Айэрс-Рок", "airport": "AYQ", "country": "Австралия"}
42;Акаба,Акабы,Акабе,Акабу,Акабой;{"name": "Акаба", "airport": "AQJ", "country": "Иордания"}
43;Акапулько,Генерал Хуан Н. Альварес;{"name": "Акапулько", "airport": "ACA", "country": "Мексика"}
44;Акита,Акиты,Аките,Акиту,Акитой;{"name": "Акита", "airport": "AXT", "country": "Япония"}
45;Аккра,Аккры,Аккре,Аккру,Аккрой;{"name": "Аккра", "airport": "ACC", "country": "Гана"}
46;Аклавик,Аклавика,Аклавику,Аклавиком,Аклавике;{"name": "Аклавик", "airport": "LAK", "country": "Канада"}
47;Акрон,Акрон-Кантон,Акрон Кантон,АкронКантон,Акрона,Акрону,Акроном,Акроне;{"name": "Акрон", "airport": "CAK", "country": "США"}
48;Акротири,RAF Akrotiri,Акротирей,Акротирям,Акротирями,Акротирях;{"name": "Акротири", "airport": "AKT", "country": "Кипр"}
49;Аксу;{"name": "Аксу", "airport": "AKU", "statCode": "2042694", "country": "Китай"}
50;Аксум,Аксума,Аксуму,Аксумом,Аксуме;{"name": "Аксум", "airport": "AXU", "country": "Эфиопия"}
51;Актау;{"name": "Актау", "airport": "SCO", "country": "Казахстан"}
52;Актобе;{"name": "Актобе", "airport": "AKX", "country": "Казахстан"}
53;Акуливик,Акуливика,Акуливику,Акуливиком,Акуливике;{"name": "Акуливик", "airport": "AKV", "country": "Канада"}
54;Акутан,Акутана,Акутану,Акутаном,Акутане;{"name": "Акутан", "airport": "KQA", "country": "США"}
55;Акьюр,Акьюра,Акьюру,Акьюром,Акьюре;{"name": "Акьюр", "airport": "AKR", "country": "Нигерия"}
56;Акюрейри;{"name": "Акюрейри", "airport": "AEY", "country": "Исландия"}
57;Аламогордо;{"name": "Аламогордо", "airport": "ALM", "country": "США"}
58;Аламоса,Аламосы,Аламосе,Аламосу,Аламосой;{"name": "Аламоса", "airport": "ALS", "country": "США"}
59;Аланья,Аланьи,Алании,Аланий,Аланьям,Аланьями,Аланьях;{"name": "Аланья", "airport": "GZP", "country": "Турция"}
60;Алдан,Алдана,Алдану,Алданом,Алдане;{"name": "Алдан", "airport": "ADH", "statCode": "2018000", "country": "Россия"}
61;Александрия,Александрии,Александрию,Александрией;{"name": "Александрия", "airport": "ALY", "statCode": "2208380", "country": "Египет"}
62;Александрия,Александрия Международный,Александрии,Александрию,Александрией;{"name": "Александрия Международный", "airport": "AEX", "country": "США"}
63;Александруполис,Димокритос,Александруполиса,Александруполису,Александруполисом,Александруполисе;{"name": "Александруполис", "airport": "AXD", "country": "Греция"}
64;Алеппо;{"name": "Алеппо", "airport": "ALP", "country": "Сирия"}
65;Алжир,Алжира,Алжиру,Алжиром,Алжире;{"name": "Алжир", "airport": "ALG", "country": "Алжир"}
66;Аликанте;{"name": "Аликанте", "airport": "ALC", "country": "Испания"}
67;Алис-Спрингс,Алис Спрингс,АлисСпрингс,Элис Спрингз;{"name": "Алис-Спрингс", "airport": "ASP", "country": "Австралия"}
68;Аллайанс,Альянс,Аллаанйс,Аллаанйса,Аллаанйсу,Аллаанйсом,Аллаанйсе;{"name": "Аллайанс", "airport": "AIA", "country": "США"}
69;Аллакакет,Аллакакета,Аллакакету,Аллакакетом,Аллакакете;{"name": "Аллакакет", "airport": "AET", "country": "США"}
70;Аллахабад,Бамраули,Аллахабада,Аллахабаду,Аллахабадом,Аллахабаде;{"name": "Аллахабад", "airport": "IXD", "country": "Индия"}
71;Алматы,алма-ата,алма ата,алмаата;{"name": "Алматы", "airport": "ALA", "country": "Казахстан"}
72;Алор-Сетар,Алор Сетар,АлорСетар,Алора-Сетара,Алору-Сетару,Алором-Сетаром,Алоре-Сетаре;{"name": "Алор-Сетар", "airport": "AOR", "country": "Малайзия"}
73;Алотау,Гурней;{"name": "Алотау", "airport": "GUR", "country": "Папуа - Новая Гвинея"}
74;Алпена,Алпены,Алпене,Алпену,Алпеной;{"name": "Алпена", "airport": "APN", "country": "США"}
75;Алта-Флореста,Алта Флореста,АлтаФлореста,Алты-Флоресты,Алте-Флоресте,Алту-Флоресту,Алтой-Флорестой;{"name": "Алта-Флореста", "airport": "AFL", "country": "Бразилия"}
76;Алта,Алты,Алте,Алту,Алтой;{"name": "Алта", "airport": "ALF", "country": "Норвегия"}
77;Алтаи,Алтаев,Алтаям,Алтаями,Алтаях;{"name": "Алтаи", "airport": "LTI", "country": "США"}
78;Алтай,Алтая,Алтаю,Алтаем,Алтае;{"name": "Алтай", "airport": "AAT", "country": "Китай"}
79;Алтуна,Алтуны,Алтуне,Алтуну,Алтуной;{"name": "Алтуна", "airport": "AOO", "country": "США"}
80;Аль Гайда,Аль Гайды,Аль Гайде,Аль Гайду,Аль Гайдой;{"name": "Аль Гайда", "airport": "AAY", "country": "Йемен"}
81;Аль-Баха,Аль Баха,АльБаха,Аль-Акик,Аль Акик,АльАкик,Аль-Бахи,Аль-Бахе,Аль-Баху,Аль-Бахой;{"name": "Аль-Баха", "airport": "ABT", "country": "Саудовская Аравия"}
82;Аль-Ула,Аль Ула,АльУла,Принц Абдул Маджид бин Абдул-Азиз,Аль-Улы,Аль-Уле,Аль-Улу,Аль-Улой;{"name": "Аль-Ула", "airport": "ULH", "country": "Саудовская Аравия"}
83;Альбасете;{"name": "Альбасете", "airport": "ABC", "country": "Испания"}
84;Альбенга,Альбнега,Альбнеги,Альбнеге,Альбнегу,Альбнегой;{"name": "Альбенга", "airport": "ALL", "country": "Италия"}
85;Альбукерке;{"name": "Альбукерке", "airport": "ABQ", "country": "США"}
86;Альгеро;{"name": "Альгеро", "airport": "AHO", "country": "Италия"}
87;Альмерия,Альмерии,Альмерию,Альмерией;{"name": "Альмерия", "airport": "LEI", "country": "Испания"}
88;Альтамира,Альтамиры,Альтамире,Альтамиру,Альтамирой;{"name": "Альтамира", "airport": "ATM", "country": "Бразилия"}
89;Альтенбург,Альтенбурга,Альтенбургу,Альтенбургом,Альтенбурге;{"name": "Альтенбург", "airport": "AOC", "country": "Германия"}
