1;ААХЕН,Аахен;{"name": "Аахен","statCode": "8052101"}
2;АБАГУР ЛЕС,Абагур-Лесной;{"name": "Абагур-Лесной","statCode": "2028104"}
3;АБАГУРОВСК,Абагуровский;{"name": "Абагуровский","statCode": "2028108"}
4;АБАДАН,Абадан;{"name": "Абадан","statCode": "2900882","country": "Узбекистан"}
5;АБАЕВСКИЙ,Абаевский;{"name": "Абаевский","statCode": "2030571","country": "Россия"}
6;АБАЗА,Абаза;{"name": "Абаза","statCode": "2038263","country": "Россия"}
7;АБАЗИНКА,Абазинка;{"name": "Абазинка","statCode": "2064729","country": "Россия"}
8;АБАЗОВКА,Абазовка;{"name": "Абазовка","statCode": "2204575","country": "Украина"}
9;АБАИЛ,Абаил;{"name": "Абаил","statCode": "2700062","country": "Казахстан"}
10;АБАКАН,Абакан;{"name": "Абакан","statCode": "2038230"}
11;АБАКЛИЯ,Абаклия;{"name": "Абаклия","statCode": "2300580","country": "Молдова"}
12;АБАКУМОВКА,Абакумовка;{"name": "Абакумовка","statCode": "2038232","country": "Россия"}
13;АБАЛАКОВО,Абалаково;{"name": "Абалаково","statCode": "2038154","country": "Россия"}
14;АБАМЕЛИКОВ,Абамеликово;{"name": "Абамеликово","statCode": "2208439","country": "Украина"}
15;АБГАНЕРОВО,Абганерово;{"name": "Абганерово","statCode": "2020843","country": "Россия"}
16;АБДИКЕЕВО,Абдикеево;{"name": "Абдикеево","statCode": "2024778","country": "Россия"}
17;АБДУЛИНО,Абдулино;{"name": "Абдулино","statCode": "2024670"}
18;АБИНСКАЯ,Абинская;{"name": "Абинская","statCode": "2064181"}
19;АБОВО,Абово;{"name": "Абово","statCode": "2004043","country": "Россия"}
20;АБРАМОВКА,Абрамовка;{"name": "Абрамовка","statCode": "2014527"}
21;АБРОСИМОВО,Абросимово;{"name": "Абросимово","statCode": "2010255"}
22;АБРОСОВО,Абросово;{"name": "Абросово","statCode": "2004617","country": "Россия"}
23;АВАН,Аван;{"name": "Аван","statCode": "2034628","country": "Россия"}
24;АВГУСТОВСК,Августовский;{"name": "Августовский","statCode": "2204551","country": "Украина"}
25;АВДА,Авда;{"name": "Авда","statCode": "2038758","country": "Россия"}
26;АВДЕЕВКА,Авдеевка;{"name": "Авдеевка","statCode": "2214039"}
27;АВЕРЬЯНОВК,Аверьяновка;{"name": "Аверьяновка","statCode": "2038129","country": "Россия"}
28;АВИЛОВО,Авилово;{"name": "Авилово","statCode": "2020752","country": "Россия"}
29;АВТОПРИБОР,Автоприбор;{"name": "Автоприбор","statCode": "2060567"}
30;АГА,Ага;{"name": "Ага","statCode": "2050378"}
31;АГАРЗЯ,Агарзя;{"name": "Агарзя","statCode": "2060544","country": "Россия"}
32;АГЛОНА,Аглона;{"name": "Аглона","statCode": "2500372","country": "Латвия"}
33;АГРОНОМ,Агроном;{"name": "Агроном","statCode": "2064192"}
34;АГРЫЗ,Агрыз;{"name": "Агрыз","statCode": "2060533"}
35;АГУЛ,Агул;{"name": "Агул","statCode": "2038233","country": "Россия"}
36;АДАБАШ,Адабаш;{"name": "Адабаш","statCode": "2208349","country": "Украина"}
37;АДАДУРОВО,Ададурово;{"name": "Ададурово","statCode": "2020748"}
38;АДАМОВСКОЕ,Адамовское;{"name": "Адамовское","statCode": "2210937","country": "Украина"}
39;АДАМПОЛЬ,Адамполь;{"name": "Адамполь","statCode": "2200221","country": "Украина"}
40;АДИКАЕВКА,Адикаевка;{"name": "Адикаевка","statCode": "2024578","country": "Россия"}
41;АДИЩЕВО,Адищево;{"name": "Адищево","statCode": "2030611"}
42;АДЛЕР,Адлер;{"name": "Адлер","statCode": "2064150"}
43;АДРИАНОВКА,Адриановка;{"name": "Адриановка","statCode": "2050373"}
44;АДУЙ,Адуй;{"name": "Адуй","statCode": "2030213","country": "Россия"}
45;АДЫР,Адыр;{"name": "Адыр","statCode": "2708886","country": "Казахстан"}
46;АЖИНИЯЗ,Ажинияз;{"name": "Ажинияз","statCode": "2900707","country": "Узбекистан"}
47;АЗАНКА,Азанка;{"name": "Азанка","statCode": "2030218"}
48;АЗАТ,Азат;{"name": "Азат","statCode": "2708869","country": "Казахстан"}
49;АЗЕЙ,Азей;{"name": "Азей","statCode": "2054802","country": "Россия"}
50;АЗИАТСКАЯ,Азиатская;{"name": "Азиатская","statCode": "2030138"}
51;АЗОВСКАЯ,Азовская;{"name": "Азовская","statCode": "2078805"}
52;АЗЯМ,Азям;{"name": "Азям","statCode": "2040457","country": "Россия"}
53;АЙ ЯГУН,Ай-Ягун;{"name": "Ай-Ягун","statCode": "2031452","country": "Россия"}
54;АЙ,Ай;{"name": "Ай","statCode": "2040435","country": "Россия"}
55;АЙВАЗОВСК,Айвазовская;{"name": "Айвазовская","statCode": "2058354"}
56;АЙГИР,Айгир;{"name": "Айгир","statCode": "2024960","country": "Россия"}
57;АЙГЫРЖАЛ,Айгыржал;{"name": "Айгыржал","statCode": "2700735","country": "Казахстан"}
58;АЙДЫРЛЯ,Айдырля;{"name": "Айдырля","statCode": "2040383"}
59;АЙЗКРАУКЛЕ,Айзкраукле;{"name": "Айзкраукле","statCode": "2500352","country": "Латвия"}
60;АЙКА,Айка;{"name": "Айка","statCode": "2030457","country": "Россия"}
61;АЙНА БУЛАК,Айна-Булак;{"name": "Айна-Булак","statCode": "2700794","country": "Казахстан"}
62;АЙНАК,Айнак;{"name": "Айнак","statCode": "2044733","country": "Россия"}
63;АЙНИ,Айни;{"name": "Айни","statCode": "6600874"}
64;АЙРИТЕ,Айрите;{"name": "Айрите","statCode": "2500283","country": "Латвия"}
65;АЙРЫТАМ,Айрытам;{"name": "Айрытам","statCode": "2900788","country": "Узбекистан"}
66;АЙСА,Айса;{"name": "Айса","statCode": "2708923","country": "Казахстан"}
67;АЙСАРЫ,Айсары;{"name": "Айсары","statCode": "2709973","country": "Казахстан"}
68;АК БУЛАК,Ак-Булак;{"name": "Ак-Булак","statCode": "2704850","country": "Казахстан"}
69;АК БУЛАТ,Ак-Булат;{"name": "Ак-Булат","statCode": "2700744","country": "Казахстан"}
70;АК КИСТАУ,Ак-Кистау;{"name": "Ак-Кистау","statCode": "2704793","country": "Казахстан"}
71;АК КУЛЬ,Ак-Куль;{"name": "Ак-Куль","statCode": "2708840","country": "Казахстан"}
72;АК ТОБЕ,Ак Тобе;{"name": "Ак Тобе","statCode": "2900689","country": "Узбекистан"}
73;АК УЗЯК,Ак-Узяк;{"name": "Ак-Узяк","statCode": "2700774","country": "Казахстан"}
74;АК ЧУЛАК,Ак-Чулак;{"name": "Ак-Чулак","statCode": "2700848","country": "Казахстан"}
75;АКАДЕМИЧЕС,Академическая;{"name": "Академическая","statCode": "2004457"}
76;АКАДЫР,Агадырь;{"name": "Агадырь","statCode": "2708921","country": "Казахстан"}
77;АКБАЛЫК,Акбалык;{"name": "Акбалык","statCode": "2700766","country": "Казахстан"}
78;АКБАРАБАД,Акбарабад;{"name": "Акбарабад","statCode": "2900702","country": "Узбекистан"}
