0;Абдул;{"full": "Абдул", "gender": "m", "name": "Абдул"}
1;Аввакум;{"gender": "m", "name": "Аввакум", "full": "Аввакум"}
2;Аввакуум;{"gender": "m", "name": "Аввакуум", "full": "Аввакуум"}
3;Август;{"gender": "m", "name": "Август", "full": "Август"}
4;Августа;{"gender": "f", "name": "Августа", "full": "Августа"}
5;Авдей;{"gender": "m", "name": "Авдей", "full": "Авдей"}
6;Аверкий;{"gender": "m", "name": "Аверкий", "full": "Аверкий"}
7;Авраам;{"gender": "m", "name": "Авраам", "full": "Авраам"}
8;Аврора;{"gender": "f", "name": "Аврора", "full": "Аврора"}
9;Агата;{"full": "Агата", "gender": "f", "name": "Агата"}
10;Агнесса;{"gender": "f", "name": "Агнесса", "full": "Агнесса"}
11;Агния;{"gender": "f", "name": "Агния", "full": "Агния"}
12;Ада;{"full": "Ада", "gender": "f", "name": "Ада"}
13;Адам;{"full": "Адам", "gender": "m", "name": "Адам"}
14;Адель;{"full": "Адель", "gender": "f", "name": "Адель"}
15;Адольф;{"full": "Адольф", "gender": "m", "name": "Адольф"}
16;Адриан;{"gender": "m", "name": "Адриан", "full": "Адриан"}
17;Аза;{"gender": "f", "name": "Аза", "full": "Аза"}
18;Азалия;{"full": "Азалия", "gender": "f", "name": "Азалия"}
19;Азарий;{"gender": "m", "name": "Азарий", "full": "Азарий"}
20;Азат;{"full": "Азат", "gender": "m", "name": "Азат"}
21;Азиза;{"gender": "f", "name": "Азиза", "full": "Азиза"}
22;Аида;{"full": "Аида", "gender": "f", "name": "Аида"}
23;Айгуль;{"full": "Айгуль", "gender": "f", "name": "Айгуль"}
24;Айдана;{"full": "Айдана", "gender": "f", "name": "Айдана"}
25;Айдар;{"full": "Айдар", "gender": "m", "name": "Айдар"}
26;Айжан;{"full": "Айжан", "gender": "f", "name": "Айжан"}
27;Айнагуль;{"full": "Айнагуль", "gender": "f", "name": "Айнагуль"}
28;Айнур;{"full": "Айнур", "gender": "f", "name": "Айнур"}
29;Айнура;{"full": "Айнура", "gender": "f", "name": "Айнура"}
30;Айрат;{"full": "Айрат", "gender": "m", "name": "Айрат"}
31;Аким;{"gender": "m", "name": "Аким", "full": "Аким"}
32;Аксинья;{"full": "Аксинья", "gender": "f", "name": "Аксинья"}
33;Алан;{"gender": "m", "name": "Алан", "full": "Алан"}
34;Алевтина;{"full": "Алевтина", "gender": "f", "name": "Алевтина"}
35;Алекс;{"gender": "m", "name": "Алекс", "full": "Алекс"}
36;Алекса;{"name": "Алекса", "gender": "f", "full": "Алекса"}
37;Александер;{"full": "Александер", "gender": "m", "name": "Александер"}
38;Александор;{"full": "Александор", "gender": "m", "name": "Александор"}
39;Александр;{"gender": "m", "name": "Александр", "full": "Александр"}
40;Александра;{"gender": "f", "name": "Александра", "full": "Александра"}
41;Алексей;{"gender": "m", "name": "Алексей", "full": "Алексей"}
42;Алена;{"gender": "f", "name": "Алена", "full": "Алена"}
43;Аленка;{"gender": "f", "name": "Аленка", "full": "Алена"}
44;Аленушка;{"name": "Аленушка", "gender": "f", "full": "Алена"}
45;Алеся;{"full": "Алеся", "gender": "f", "name": "Алеся"}
46;Алефтина;{"full": "Алефтина", "gender": "f", "name": "Алефтина"}
47;Алеша;{"gender": "m", "name": "Алеша", "full": "Алексей"}
48;Алико;{"gender": "m", "name": "Алико", "full": "Алико"}
49;Алина;{"gender": "f", "name": "Алина", "full": "Алина"}
50;Алиночка;{"gender": "f", "name": "Алиночка", "full": "Алина"}
51;Алиса;{"gender": "f", "name": "Алиса", "full": "Алиса"}
52;Алисонька;{"gender": "f", "name": "Алисонька", "full": "Алиса"}
53;Алишер;{"full": "Алишер", "gender": "m", "name": "Алишер"}
54;Алия;{"gender": "f", "name": "Алия", "full": "Алия"}
55;Алла;{"gender": "f", "name": "Алла", "full": "Алла"}
56;Аллочка;{"gender": "f", "name": "Аллочка", "full": "Алла"}
57;Алсу;{"full": "Алсу", "gender": "f", "name": "Алсу"}
58;Альберт;{"gender": "m", "name": "Альберт", "full": "Альберт"}
59;Альберта;{"gender": "f", "name": "Альберта", "full": "Альберта"}
60;Альбина;{"gender": "f", "name": "Альбина", "full": "Альбина"}
61;Альбиночка;{"gender": "f", "name": "Альбиночка", "full": "Альбина"}
62;Альжбета;{"gender": "f", "name": "Альжбета", "full": "Альжбета"}
63;Альфира;{"full": "Альфира", "gender": "f", "name": "Альфира"}
64;Альфия;{"full": "Альфия", "gender": "f", "name": "Альфия"}
65;Альфред;{"gender": "m", "name": "Альфред", "full": "Альфред"}
66;Аля;{"name": "Аля", "gender": "f", "full": "Алевтина"}
67;Амалия;{"full": "Амалия", "gender": "f", "name": "Амалия"}
68;Амелия;{"full": "Амелия", "gender": "f", "name": "Амелия"}
69;Амина;{"gender": "f", "name": "Амина", "full": "Амина"}
70;Амир;{"gender": "m", "name": "Амир", "full": "Амир"}
71;Амирчик;{"gender": "m", "name": "Амирчик", "full": "Амир"}
72;Анастасия;{"gender": "f", "name": "Анастасия", "full": "Анастасия"}
73;Анатолий;{"gender": "m", "name": "Анатолий", "full": "Анатолий"}
74;Анвар;{"full": "Анвар", "gender": "m", "name": "Анвар"}
75;Ангелина;{"gender": "f", "name": "Ангелина", "full": "Ангелина"}
76;Андрей;{"gender": "m", "name": "Андрей", "full": "Андрей"}
77;Андриана;{"full": "Андриана", "gender": "f", "name": "Андриана"}
78;Андрий;{"full": "Андрий", "gender": "m", "name": "Андрий"}
79;Андрюха;{"name": "Андрюха", "gender": "m", "full": "Андрей"}
80;Андрюша;{"gender": "m", "name": "Андрюша", "full": "Андрей"}
81;Андрюшка;{"name": "Андрюшка", "gender": "m", "full": "Андрей"}
82;Анечка;{"gender": "f", "name": "Анечка", "full": "Анна"}
83;Анжела;{"full": "Анжела", "gender": "f", "name": "Анжела"}
84;Анжелика;{"gender": "f", "name": "Анжелика", "full": "Анжелика"}
85;Анжелла;{"full": "Анжелла", "gender": "f", "name": "Анжелла"}
